Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.1-239.255.255.250-46298-1900-17,192.168.0.1,46298,239.255.255.250,1900,17,05-01-2024 08:02,203489,17,1,7820,418,498,418,460,30.3088271,418,418,418,0,40483.76079,88.4568699,11969.94118,33451.8921,101072,0,203289,12705.5625,34406.66179,101072,0,0,0,0,0,0,0,0,0,0,136,8,83.54259935,4.91427055,418,498,455.5789474,31.4948246,991.9239766,0,0,0,0,0,0,0,0,0,480.8888889,460,418,0,0,0,0,0,0,17,7820,1,418,-1,-1,17,0,0,0,0,0,0,0,0,0,No Label
134.221.96.0-0.0.0.237-0-0-0,134.221.96.0,0,0.0.0.237,0,0,05-01-2024 08:01,4622873,1,1,0,0,0,0,0,0,0,0,0,0,0,0.432631396,4622873,0,4622873,4622873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216315698,0.216315698,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.119-20.42.65.90-52103-443-6,192.168.0.119,52103,20.42.65.90,443,6,05-01-2024 08:04,1275687,11,11,2109,4936,949,0,191.7272727,318.9661709,1440,0,448.7272727,642.3271894,5522.514535,17.24560962,60747,102059.5903,257496,0,1025788,102578.8,128946.1792,278665,187,1271630,127163,130311.8006,278633,0,0,0,0,0,220,244,8.62280481,8.62280481,0,1440,306.3043478,504.7318311,254754.2213,0,1,0,0,0,0,0,0,1,320.2272727,191.7272727,448.7272727,0,0,0,0,0,0,11,2109,11,4936,-1,16385,6,0,0,0,0,0,0,0,0,0,No Label
192.168.0.119-20.42.65.90-52103-443-6,20.42.65.90,443,192.168.0.119,52103,6,05-01-2024 08:04,775,1,2,0,42,0,0,0,0,42,0,21,29.69848481,54193.54839,3870.967742,387.5,188.7975106,521,254,0,0,0,0,0,254,254,0,254,254,0,1,0,0,20,40,1290.322581,2580.645161,0,42,21,24.24871131,588,0,0,0,1,1,0,0,0,2,28,0,21,0,0,0,0,0,0,1,0,2,42,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.255-192.168.0.102-57621-57621-17,192.168.0.102,57621,192.168.0.255,57621,17,05-01-2024 08:01,112335640,3,1,120,40,40,40,40,0,40,40,40,0,1.424303097,0.035607577,3.74E+07,1566534.264,3.84E+07,3.56E+07,7.67E+07,3.83E+07,72266.31304,3.84E+07,3.83E+07,0,0,0,0,0,0,0,0,0,24,8,0.026705683,0.008901894,40,40,40,0,0,0,0,0,0,0,0,0,0,0,50,40,40,0,0,0,0,0,0,3,120,1,40,-1,-1,3,0,0,0,0,0,3.74E+07,1566534.264,3.84E+07,3.56E+07,No Label
192.168.0.119-20.42.65.90-52104-443-6,192.168.0.119,52104,20.42.65.90,443,6,05-01-2024 08:04,3097980,14,12,2120,4936,960,0,151.4285714,293.7447124,1440,0,411.3333333,625.984219,2277.613154,8.392565478,123919.2,236998.4629,870387,0,2618951,201457.7692,292933.0513,884248,32,3084119,280374.4545,312168.0538,919499,0,0,0,0,0,316,264,4.519073719,3.873491759,0,1440,261.3333333,477.9579158,228443.7692,0,1,0,0,0,0,0,0,0,271.3846154,151.4285714,411.3333333,0,0,0,0,0,0,14,2120,12,4936,-1,16385,6,0,0,0,0,0,0,0,0,0,No Label
192.168.0.119-20.42.65.90-52104-443-6,20.42.65.90,443,192.168.0.119,52104,6,05-01-2024 08:04,0,1,1,0,42,0,0,0,0,42,42,42,0,Infinity,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0,0,0,42,28,24.24871131,588,0,0,0,1,1,0,0,0,1,42,0,42,0,0,0,0,0,0,1,0,1,42,-1,16385,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.119-52.113.194.132-52100-443-6,192.168.0.119,52100,52.113.194.132,443,6,05-01-2024 08:02,1083762,21,36,1029,34010,549,0,49,127.2332504,1440,0,944.7222222,642.5964124,32330.89922,52.59457335,19352.89286,75895.44676,493343,0,810721,40536.05,114658.3825,510630,78,1081890,30911.14286,97048.20021,493343,0,0,0,0,0,420,744,19.37694808,33.21762527,0,1440,604.1206897,672.6350403,452437.8975,0,1,0,0,0,0,0,0,1,614.7192982,49,944.7222222,0,0,0,0,0,0,21,1029,36,34010,-1,16381,5,0,0,0,0,0,0,0,0,0,No Label
192.168.0.104-239.255.255.250-38568-1900-17,192.168.0.104,38568,239.255.255.250,1900,17,05-01-2024 08:00,119939575,1,1,125,125,125,125,125,0,125,125,125,0,2.084382907,0.016675063,1.20E+08,0,1.20E+08,1.20E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.008337532,0.008337532,125,125,125,0,0,0,0,0,0,0,0,0,0,1,187.5,125,125,0,0,0,0,0,0,1,125,1,125,-1,-1,1,0,0,0,0,0,1.20E+08,0,1.20E+08,1.20E+08,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,05-01-2024 08:02,115612836,22,1,0,0,0,0,0,0,0,0,0,0,0,0.198939848,5255128.909,1660791.605,6452681,228371,1.10E+08,5222531.762,1694578.04,6452681,228371,0,0,0,0,0,0,0,0,0,0,0,0.190290289,0.008649559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,-1,-1,0,0,3317723,2699406.003,5221176,228371,5869981.5,307322.4705,6452681,5095047,No Label
